Dwarf_Star_Name,Dwarf_Star_Distance,Dwarf_Star_Mass,Dwarf_Star_Radius
54 Piscium,36.1,0.050593164,0.08207592208319811
81 Cancri,66,,
AB Pictoris,66.6,0.012886938,
CD−33°7795,163.08,0.01909176,
CT Chamaeleontis,538,0.016227996,0.2260786
Eta Coronae Borealis,58.3,0.060139044,
G 196-3,50.2,0.0238647,
GD 165,103,,
Gliese 570,19.0,0.049638576000000004,
GU Piscium,155.3,0.010500468,
HD 89744,126.2,,
HD 100546,337.25,0.01909176,
HN Pegasi,58.3,0.026728464,0.10379063
LHS 4040 [es],,,
UScoCTIO 108,473,0.013364232,
WD 0137-349,330,0.050593164,
HD 41004 B,139,0.0175644192,
HD 149382,241,0.014796114,
COROT-15,,0.0605208792,0.11509456
Xi Ursae Majoris B,25.11,0.035319756,
Upsilon Andromedae,43.9,0.013345140240000001,
Gliese 758,51.9,0.021955524,
HD 112758,53.81,0.03341058,
BD−04°782,66.6,0.020046348000000002,
HD 110833,55.44,0.016227996,
HD 89707,81.54,0.051547752,
Tau Geminorum,302,0.0172780428,
HAT-P-13,698,0.0145097376,
HD 217580,58.7,0.057275280000000005,
HD 16760,163,0.013650608400000002,
HD 13189,603.4,0.013364232,
HD 18445,83.92,0.037228932,
HD 8673,124.75,0.013364232,
NGC 4349-127,7097,0.018900842400000003,
Gliese 569,31.5,116[7],
HD 29587,146.77,0.03818352,
ChaHα8,522,0.017182584,
COROT-20,4000,0.016227996,
HD 168443,123.5,0.032455992,
HD 38529 A,138,0.035319756,
Epsilon Indi,11.8,0.026728464,
HW Virginis,590,0.018356727240000002,
DT Virginis,37.55,0.01193235,0.1130393
HD 4113,136,0.057275280000000005,
Gliese 229,19,0.03818352,
TYC 9486-927-1,111,13.3 (± 1.7)  MJ,
Epsilon Indi,11.8,0.044865636,
HD 131664,180.8,0.0173257722,
HD 136118,171,0.040092696000000004,
HD 140913,156.42,0.043911048,
GQ Lupi b,400,1-42,0.18497339999999998
HD 162020,101.95,0.014318820000000001,
Nu Ophiuchi,152.8,0.020905477199999998,
HD 164427,127.52,0.043911048,
SCR 1845-6357,12.57,40-50,
COROT-3,2220,0.02067637608,0.10379063
15 Sagittae,57.7,0.06204822,
Zeta Delphini,220,0.05250234,
HD 202206,151.14,0.016609831199999998,
